"animal_id","birthsite","year_birth","year_cap","age","weight.lb","weight.kg","antler.in","antler.cm","annual.by","annual.cy","by.rain.bin","cy.rain.bin","match"
"270-2010-1-003","dmp",2010,2011,1,102,46.36,60.125,152.72,31.8,14.1,"wet","dry","2"
"270-2009-1-021","dmp",2009,2011,2,135,61.36,95,241.3,20.4,14.1,"intermediate","dry","2"
"270-2007-1-011","dmp",2007,2011,4,196,89.09,116.75,296.54,38.35,14.1,"wet","dry","2"
"270-2007-1-056","dmp",2007,2011,4,200,90.91,151.375,384.49,38.35,14.1,"wet","dry","2"
"270-2008-1-017","dmp",2008,2011,3,161,73.18,151.625,385.13,20.3,14.1,"intermediate","dry","2"
"270-2009-1-010","dmp",2009,2011,2,144,65.45,109.375,277.81,20.4,14.1,"intermediate","dry","2"
"270-2009-1-020","dmp",2009,2012,3,154,70,161.125,409.26,20.4,15.8,"intermediate","dry","2"
"270-2010-1-004","dmp",2010,2012,2,135,61.36,93.625,237.81,31.8,15.8,"wet","dry","2"
"270-2009-1-012","dmp",2009,2012,3,182,82.73,118.75,301.62,20.4,15.8,"intermediate","dry","2"
"270-2008-1-022","dmp",2008,2012,4,150,68.18,156.375,397.19,20.3,15.8,"intermediate","dry","2"
"270-2008-1-008","dmp",2008,2012,4,178,80.91,173.875,441.64,20.3,15.8,"intermediate","dry","2"
"270-2008-1-011","dmp",2008,2012,4,175,79.55,157,398.78,20.3,15.8,"intermediate","dry","2"
"270-2009-1-024","dmp",2009,2012,3,180,81.82,137.75,349.88,20.4,15.8,"intermediate","dry","2"
"270-2011-1-260","dmp",2011,2012,1,113,51.36,45,114.3,14.1,15.8,"dry","dry","1"
"270-2008-1-014","dmp",2008,2012,4,186,84.55,154.375,392.11,20.3,15.8,"intermediate","dry","2"
"270-2007-1-051","dmp",2007,2012,5,206,93.64,164.25,417.2,38.35,15.8,"wet","dry","2"
"270-2009-1-002","dmp",2009,2012,3,178,80.91,115.625,293.69,20.4,15.8,"intermediate","dry","2"
"270-2008-1-012","dmp",2008,2012,4,174,79.09,131.875,334.96,20.3,15.8,"intermediate","dry","2"
"270-2007-1-057","dmp",2007,2012,5,204,92.73,134.875,342.58,38.35,15.8,"wet","dry","2"
"270-2011-1-295","dmp",2011,2012,1,100,45.45,35.25,89.53,14.1,15.8,"dry","dry","1"
"270-2009-1-023","dmp",2009,2012,3,168,76.36,148.125,376.24,20.4,15.8,"intermediate","dry","2"
"270-2011-1-268","dmp",2011,2012,1,115,52.27,46,116.84,14.1,15.8,"dry","dry","1"
"270-2008-1-018","dmp",2008,2012,4,196,89.09,175.625,446.09,20.3,15.8,"intermediate","dry","2"
"270-2009-1-038","dmp",2009,2012,3,123,55.91,113,287.02,20.4,15.8,"intermediate","dry","2"
"270-2011-1-269","dmp",2011,2012,1,118,53.64,29.75,75.56,14.1,15.8,"dry","dry","1"
"270-2009-1-010","dmp",2009,2012,3,184,83.64,147.5,374.65,20.4,15.8,"intermediate","dry","2"
"270-2010-1-006","dmp",2010,2012,2,138,62.73,114.375,290.51,31.8,15.8,"wet","dry","2"
"270-2010-1-086","dmp",2010,2012,2,158,71.82,111.375,282.89,31.8,15.8,"wet","dry","2"
"270-2010-1-009","dmp",2010,2012,2,140,63.64,117.625,298.77,31.8,15.8,"wet","dry","2"
"270-2010-1-027","dmp",2010,2012,2,146,66.36,118.125,300.04,31.8,15.8,"wet","dry","2"
"270-2011-1-244","dmp",2011,2012,1,113,51.36,39.375,100.01,14.1,15.8,"dry","dry","1"
"270-2007-1-001","dmp",2007,2012,5,205,93.18,142.25,361.32,38.35,15.8,"wet","dry","2"
"270-2007-1-066","dmp",2007,2012,5,214,97.27,176.375,447.99,38.35,15.8,"wet","dry","2"
"270-2011-1-250","dmp",2011,2012,1,125,56.82,48.875,124.14,14.1,15.8,"dry","dry","1"
"270-2008-1-028","dmp",2008,2012,4,153,69.55,141.125,358.46,20.3,15.8,"intermediate","dry","2"
"270-2007-1-007","dmp",2007,2012,5,215,97.73,143.25,363.86,38.35,15.8,"wet","dry","2"
"270-2010-1-038","dmp",2010,2012,2,144,65.45,99.375,252.41,31.8,15.8,"wet","dry","2"
"270-2010-1-021","dmp",2010,2012,2,156,70.91,118.875,301.94,31.8,15.8,"wet","dry","2"
"270-2008-1-013","dmp",2008,2012,4,185,84.09,157.875,401,20.3,15.8,"intermediate","dry","2"
"270-2007-1-006","dmp",2007,2012,5,207,94.09,149.875,380.68,38.35,15.8,"wet","dry","2"
"270-2011-1-215","dmp",2011,2012,1,106,48.18,36.375,92.39,14.1,15.8,"dry","dry","1"
"270-2009-1-009","dmp",2009,2012,3,173,78.64,134.625,341.95,20.4,15.8,"intermediate","dry","2"
"270-2011-1-322","dmp",2011,2012,1,102,46.36,50.875,129.22,14.1,15.8,"dry","dry","1"
"270-2011-1-248","dmp",2011,2012,1,108,49.09,37.625,95.57,14.1,15.8,"dry","dry","1"
"270-2007-1-056","dmp",2007,2012,5,209,95,163.25,414.66,38.35,15.8,"wet","dry","2"
"270-2007-1-065","dmp",2007,2012,5,233,105.91,174.125,442.28,38.35,15.8,"wet","dry","2"
"270-2010-1-003","dmp",2010,2012,2,151,68.64,103.5,262.89,31.8,15.8,"wet","dry","2"
