year,pasture,sex,dressed_weight,live_weight,age,
2017,East Toro,,91,118,5.5,
2017,East Yana,,,64,0.5,
2017,East Yana,,,55,0.5,
2017,East Yana,,,55,0.5,
2017,East Yana,,,60,0.5,
2017,East Yana,,,60,0.5,
2017,East Yana,,,57,0.5,
2017,East Yana,,,57,0.5,
2017,East Yana,,,61,0.5,
2017,East Yana,,,58,0.5,
2017,East Yana,,,57,0.5,
2017,West Yana,,,46,0.5,
2017,East Yana,,,62,0.5,
2017,East Yana,,,55,0.5,
2017,East Yana,,,62,0.5,
2017,West Yana,,,43,0.5,
2017,East Yana,,,60,0.5,
2017,East Yana,,,44,0.5,
2017,East Yana,,,56,0.5,
2017,West Yana,,,56,0.5,
2018,Yana,,43,56,0.5,
2018,Yana,,39,51,0.5,
2018,SE Toro,,32,42,0.5,
2018,SE Toro,,37,48,0.5,
2018,SE Toro,,36,47,0.5,
2018,SE Toro,,29,38,0.5,
2018,Yana,,37,48,0.5,
2018,Yana,,45,58,0.5,
2018,West Toro-Fed,,46,60,0.5,
2017,West Yana,,50,65,0.5,
2017,East Toro,,41,53,0.5,
2017,East Toro,,38,49,0.5,
2017,West Toro-Fed,,26,34,0.5,
2017,East Toro,,37,48,0.5,
2017,East Toro,,54,70,0.5,
2017,West Yana,,36,47,0.5,
2017,East Toro,,59,77,1.5,
2017,East Toro,,59,77,1.5,
2017,East Toro,,36,47,0.5,
2017,East Toro,,34,44,0.5,
2017,East Toro,,43,56,0.5,
2017,East Toro,,37,48,0.5,
2017,West Toro-Fed,,37,48,0.5,
2017,SE Toro,,32,42,0.5,
2017,SE Toro,,42,55,0.5,
2017,SE Toro,,39,51,0.5,
2017,SE Toro,,38,49,0.5,
2017,SE Toro,,39,51,0.5,
2017,SE Toro,,35,45,0.5,
2017,SE Toro,,41,53,0.5,
2017,SE Toro,,39,51,0.5,
2017,SE Toro,,41,53,0.5,
2017,SE Toro,,36,47,0.5,
2017,SE Toro,,38,49,0.5,
2017,SE Toro,,43,56,0.5,
2017,SE Toro,,30,39,0.5,
2017,West Toro-Fed,,33,43,0.5,
2017,SE Toro,,37,48,0.5,
2017,SE Toro,,37,48,0.5,
2017,SE Toro,,26,34,0.5,
2017,SE Toro,,78,101,3.5,
2017,SE Toro,,39,51,0.5,
2017,SE Toro,,46,60,0.5,
2017,SE Toro,,40,52,0.5,
2017,SE Toro,,40,52,0.5,
2017,SE Toro,,33,43,0.5,
2017,SE Toro,,38,49,0.5,
2017,SE Toro,,39,51,0.5,
2017,SE Toro,,44,57,0.5,
2017,SE Toro,,32,42,0.5,
2017,SE Toro,,31,40,0.5,
2017,SE Toro,,41,53,0.5,
2017,SE Toro,,40,52,0.5,
2017,SE Toro,,38,49,0.5,
2017,SE Toro,,40,52,0.5,
2017,SE Toro,,34,44,0.5,
2017,West Toro-Fed,,35,45,0.5,
2017,East Toro,,45,58,0.5,
2017,East Toro,,29,38,0.5,
2017,West Toro-Fed,,34,44,0.5,
2017,East Toro,,37,48,0.5,
2017,West Toro-Fed,,33,43,0.5,
2017,West Toro-Fed,,27,35,0.5,
2017,East Toro,,82,106,3.5,
2017,West Toro-Fed,,34,44,0.5,
2017,East Toro,,30,39,0.5,
2017,East Toro,,38,49,0.5,
2017,East Toro,,27,35,0.5,
2017,West Toro-Fed,,28,36,0.5,
2017,West Yana,,,59,0.5,
2017,West Yana,,,56,0.5,
2017,West Yana,,,94,4.5,
2017,West Yana,,,50,0.5,
2017,West Yana,,,66,0.5,
2017,East Yana,,,51,0.5,
2017,East Yana,,,56,0.5,
2017,East Toro,,40,52,0.5,
2017,East Toro,,38,49,0.5,
2017,East Toro,,41,53,0.5,
2017,West Yana,,,103,3.5,
2017,West Yana,,,59,0.5,
2017,West Yana,,,55,0.5,
